date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:21	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:21%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/DetermineTableStats.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/DetermineTableStats.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:21	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:21%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveAnalysis.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveAnalysis.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:22	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:22%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-hive-integration.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-hive-integration.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:22	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:22%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-vectorized-parquet-reader.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-vectorized-parquet-reader.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:22	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:22%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-dynamic-partition-inserts.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-dynamic-partition-inserts.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:23	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:23%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-bucketing.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-bucketing.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:23	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:23%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-whole-stage-codegen.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-whole-stage-codegen.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:23	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:23%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-CodegenContext.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-CodegenContext.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:24	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:23%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-CodeGenerator.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-CodeGenerator.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:24	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:24%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GenerateColumnAccessor.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GenerateColumnAccessor.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
